SIC Division,Activity ID
01,ICA10
02,ICA30
03,ICA50
05,ICA100
06,ICA100
07,ICA100
08,ICA100
09,ICA100
10,ICA90
11,ICA90
12,ICA90
13,ICA90
14,ICA90
15,ICA90
16,ICA90
17,ICA90
18,ICA90
19,ICA90
20,ICA90
21,ICA90
22,ICA90
23,ICA90
24,ICA90
25,ICA90
26,ICA90
27,ICA90
28,ICA90
29,ICA90
30,ICA90
31,ICA90
32,ICA90
33,ICA120
35,ICA230
36,ICA230
37,ICA230
38,ICA230
39,ICA230
41,ICA70
42,ICA70
43,ICA70
45,ICA260
46,ICA260
47,ICA260
49,ICA220
50,ICA220
51,ICA220
52,ICA220
53,ICA220
55,ICA210
56,ICA120
58,ICA280
59,ICA280
60,ICA280
61,ICA280
62,ICA280
63,ICA280
64,ICA140
65,ICA150
66,ICA140
68,ICA210
69,ICA110
70,ICA110
71,ICA110
72,ICA110
73,ICA110
74,ICA110
75,ICA110
77,ICA120
78,ICA120
79,ICA130
80,ICA280
81,ICA120
82,ICA120
84,ICA280
85,ICA270
86,ICA270
87,ICA270
88,ICA270
90,ICA280
91,ICA280
92,ICA280
93,ICA280
94,ICA280
95,ICA120
96,ICA120
97,ICA280
98,ICA280
99,ICA280
